编号,测试用例名称,前置条件,测试步骤,url,method,data,是否运行,后置条件,期望结果（future）,返回结果
1,"通道2：000
通道1：000
PC模式：自协商开
link up","subprocess.run([""powershell"", ""-Command"", 'Set-NetAdapterAdvancedProperty ""以太网"" -DisplayName ""连接速度和双工模式"" -DisplayValue ""自动侦测""'], capture_output=True, text=True,shell=True)
sleep(3)",1.发送ethercat消息,/ethercat/sent,POST,"{
    ""ip"": ""192.168.10.207"",
    ""user"": ""rtpc"",
    ""passwd"": ""sv123"",
    ""command"": ""echo 'sv123' | sudo -S -p '' -u root bash -c 'expect ckype.exp 0 1 1 0 0 0 0 1 1 0 0 0'"",
    ""mastr"": ""ch1:""
}",是,,,
2,"通道2：000
通道1：001
PC模式：自协商开
link up",sleep(3),1.发送ethercat消息,/ethercat/sent,POST,"{
    ""ip"": ""192.168.10.207"",
    ""user"": ""rtpc"",
    ""passwd"": ""sv123"",
    ""command"": ""echo 'sv123' | sudo -S -p '' -u root bash -c 'expect ckype.exp 0 1 1 0 1 0 0 1 1 0 0 0'"",
    ""mastr"": ""ch1:""
}",是,,,
3,"通道2：000
通道1：100
PC模式：自协商开
link up",sleep(3),1.发送ethercat消息,/ethercat/sent,POST,"{
    ""ip"": ""192.168.10.207"",
    ""user"": ""rtpc"",
    ""passwd"": ""sv123"",
    ""command"": ""echo 'sv123' | sudo -S -p '' -u root bash -c 'expect ckype.exp 0 1 1 0 0 1 0 1 1 0 0 0'"",
    ""mastr"": ""ch1:""
}",是,,,
4,"通道2：000
通道1：101
PC模式：自协商开
link up",sleep(3),1.发送ethercat消息,/ethercat/sent,POST,"{
    ""ip"": ""192.168.10.207"",
    ""user"": ""rtpc"",
    ""passwd"": ""sv123"",
    ""command"": ""echo 'sv123' | sudo -S -p '' -u root bash -c 'expect ckype.exp 0 1 1 0 1 1 0 1 1 0 0 0'"",
    ""mastr"": ""ch1:""
}",是,,,
5,"通道2：000
通道1：010
PC模式：自协商开
link up",sleep(3),1.发送ethercat消息,/ethercat/sent,POST,"{
    ""ip"": ""192.168.10.207"",
    ""user"": ""rtpc"",
    ""passwd"": ""sv123"",
    ""command"": ""echo 'sv123' | sudo -S -p '' -u root bash -c 'expect ckype.exp 0 1 1 1 0 0 0 1 1 0 0 0'"",
    ""mastr"": ""ch1:""
}",是,,,
6,"通道2：000
通道1：110
PC模式：自协商开
link up",sleep(3),1.发送ethercat消息,/ethercat/sent,POST,"{
    ""ip"": ""192.168.10.207"",
    ""user"": ""rtpc"",
    ""passwd"": ""sv123"",
    ""command"": ""echo 'sv123' | sudo -S -p '' -u root bash -c 'expect ckype.exp 0 1 1 1 0 1 0 1 1 0 0 0'"",
    ""mastr"": ""ch1:""
}",是,,,
7,"通道2：000
通道1：011
PC模式：自协商开
link up",sleep(3),1.发送ethercat消息,/ethercat/sent,POST,"{
    ""ip"": ""192.168.10.207"",
    ""user"": ""rtpc"",
    ""passwd"": ""sv123"",
    ""command"": ""echo 'sv123' | sudo -S -p '' -u root bash -c 'expect ckype.exp 0 1 1 1 1 0 0 1 1 0 0 0'"",
    ""mastr"": ""ch1:""
}",是,,,
8,"通道2：000
通道1：000
PC模式：百兆全双工
link up","subprocess.run([""powershell"", ""-Command"", 'Set-NetAdapterAdvancedProperty ""以太网"" -DisplayName ""连接速度和双工模式"" -DisplayValue ""100 Mbps 全双工""'], capture_output=True, text=True,shell=True)
sleep(3)",1.发送ethercat消息,/ethercat/sent,POST,"{
    ""ip"": ""192.168.10.207"",
    ""user"": ""rtpc"",
    ""passwd"": ""sv123"",
    ""command"": ""echo 'sv123' | sudo -S -p '' -u root bash -c 'expect ckype.exp 0 1 1 0 0 0 0 1 1 0 0 0'"",
    ""mastr"": ""ch1:""
}",是,,,
9,"通道2：000
通道1：001
PC模式：百兆全双工
link up",sleep(3),1.发送ethercat消息,/ethercat/sent,POST,"{
    ""ip"": ""192.168.10.207"",
    ""user"": ""rtpc"",
    ""passwd"": ""sv123"",
    ""command"": ""echo 'sv123' | sudo -S -p '' -u root bash -c 'expect ckype.exp 0 1 1 0 1 0 0 1 1 0 0 0'"",
    ""mastr"": ""ch1:""
}",是,,,
10,"通道2：000
通道1：100
PC模式：百兆全双工
link up",sleep(3),1.发送ethercat消息,/ethercat/sent,POST,"{
    ""ip"": ""192.168.10.207"",
    ""user"": ""rtpc"",
    ""passwd"": ""sv123"",
    ""command"": ""echo 'sv123' | sudo -S -p '' -u root bash -c 'expect ckype.exp 0 1 1 0 0 1 0 1 1 0 0 0'"",
    ""mastr"": ""ch1:""
}",是,,,
