编号,测试用例名称,前置条件,测试步骤,url,method,data,是否运行,后置条件,期望结果（future）,返回结果
1,"通道2：000
通道1：000
link up",sleep(6),1.发送can消息,/vcardas/sent,POST,"{
    ""channel"": ""3"",
    ""can_id"": ""7F0"",
    ""bit0"": ""5"",
    ""bit1"": ""3"",
    ""bit2"": ""33"",
    ""bit3"": ""0"",
    ""bit4"": ""3B"",
    ""bit5"": ""0"",
    ""bit6"": ""0"",
    ""bit7"": ""0"",
    ""isLoop"": false}",是,,,{'result': 'send Successful'}
,,sleep(6),2.接收can消息,/vcardas/recv,POST,"{
    ""channel"": ""3"",
    ""can_id"": ""7F1"",
    ""bit0"": ""6"",
    ""bit1"": ""12"",
    ""bit2"": ""0"",
    ""bit3"": ""0"",
    ""bit4"": ""0"",
    ""bit5"": ""0"",
    ""bit6"": ""0"",
    ""bit7"": ""0"",
    ""isLoop"": false}",是,,,"{'result': ['0x6', '0x12', '0xd3', '0xd2', '0x7', '0xf1', '0xb5', '0x0']}"
2,"通道2：101
通道1：001
link up",sleep(6),1.发送can消息,/vcardas/sent,POST,"{
    ""channel"": ""3"",
    ""can_id"": ""7F0"",
    ""bit0"": ""5"",
    ""bit1"": ""3"",
    ""bit2"": ""23"",
    ""bit3"": ""0"",
    ""bit4"": ""2B"",
    ""bit5"": ""0"",
    ""bit6"": ""0"",
    ""bit7"": ""0"",
    ""isLoop"": false}",是,,,{'result': 'send Successful'}
,,sleep(6),2.接收can消息,/vcardas/recv,POST,"{
    ""channel"": ""3"",
    ""can_id"": ""7F1"",
    ""bit0"": ""0"",
    ""bit1"": ""0"",
    ""bit2"": ""0"",
    ""bit3"": ""0"",
    ""bit4"": ""0"",
    ""bit5"": ""0"",
    ""bit6"": ""0"",
    ""bit7"": ""0"",
    ""isLoop"": false}",是,,,"{'result': ['0x6', '0x12', '0xe3', '0xd2', '0x7', '0xf1', '0xc5', '0x0']}"
3,"通道2：001
通道1：001
link down",sleep(6),1.发送can消息,/vcardas/sent,POST,"{
    ""channel"": ""3"",
    ""can_id"": ""7F0"",
    ""bit0"": ""5"",
    ""bit1"": ""3"",
    ""bit2"": ""3"",
    ""bit3"": ""0"",
    ""bit4"": ""B"",
    ""bit5"": ""0"",
    ""bit6"": ""0"",
    ""bit7"": ""0"",
    ""isLoop"": false}",是,,,{'result': 'send Successful'}
,,sleep(6),2.接收can消息,/vcardas/recv,POST,"{
    ""channel"": ""3"",
    ""can_id"": ""7F1"",
    ""bit0"": ""0"",
    ""bit1"": ""0"",
    ""bit2"": ""0"",
    ""bit3"": ""0"",
    ""bit4"": ""0"",
    ""bit5"": ""0"",
    ""bit6"": ""0"",
    ""bit7"": ""0"",
    ""isLoop"": false}",是,,,"{'result': ['0x6', '0x12', '0x23', '0xd2', '0x7', '0xf1', '0x5', '0x0']}"
4,"通道2：101
通道1：100
link down",sleep(6),1.发送can消息,/vcardas/sent,POST,"{
    ""channel"": ""3"",
    ""can_id"": ""7F0"",
    ""bit0"": ""5"",
    ""bit1"": ""3"",
    ""bit2"": ""32"",
    ""bit3"": ""0"",
    ""bit4"": ""3A"",
    ""bit5"": ""0"",
    ""bit6"": ""0"",
    ""bit7"": ""0"",
    ""isLoop"": false}",是,,,{'result': 'send Successful'}
,,sleep(6),2.接收can消息,/vcardas/recv,POST,"{
    ""channel"": ""3"",
    ""can_id"": ""7F1"",
    ""bit0"": ""0"",
    ""bit1"": ""0"",
    ""bit2"": ""0"",
    ""bit3"": ""0"",
    ""bit4"": ""0"",
    ""bit5"": ""0"",
    ""bit6"": ""0"",
    ""bit7"": ""0"",
    ""isLoop"": false}",是,,,"{'result': ['0x6', '0x12', '0x13', '0xd2', '0x7', '0xf1', '0xf5', '0x0']}"
5,"通道2：001
通道1：100
link down",sleep(6),1.发送can消息,/vcardas/sent,POST,"{
    ""channel"": ""3"",
    ""can_id"": ""7F0"",
    ""bit0"": ""5"",
    ""bit1"": ""3"",
    ""bit2"": ""12"",
    ""bit3"": ""0"",
    ""bit4"": ""1A"",
    ""bit5"": ""0"",
    ""bit6"": ""0"",
    ""bit7"": ""0"",
    ""isLoop"": false}",是,,,{'result': 'send Successful'}
,,sleep(6),2.接收can消息,/vcardas/recv,POST,"{
    ""channel"": ""3"",
    ""can_id"": ""7F1"",
    ""bit0"": ""0"",
    ""bit1"": ""0"",
    ""bit2"": ""0"",
    ""bit3"": ""0"",
    ""bit4"": ""0"",
    ""bit5"": ""0"",
    ""bit6"": ""0"",
    ""bit7"": ""0"",
    ""isLoop"": false}",是,,,"{'result': ['0x6', '0x12', '0x13', '0xd2', '0x7', '0xf1', '0xf5', '0x0']}"
6,"通道2：100
通道1：100
link up",sleep(6),1.发送can消息,/vcardas/sent,POST,"{
    ""channel"": ""3"",
    ""can_id"": ""7F0"",
    ""bit0"": ""5"",
    ""bit1"": ""3"",
    ""bit2"": ""30"",
    ""bit3"": ""0"",
    ""bit4"": ""38"",
    ""bit5"": ""0"",
    ""bit6"": ""0"",
    ""bit7"": ""0"",
    ""isLoop"": false}",是,,,{'result': 'send Successful'}
,,sleep(6),2.接收can消息,/vcardas/recv,POST,"{
    ""channel"": ""3"",
    ""can_id"": ""7F1"",
    ""bit0"": ""0"",
    ""bit1"": ""0"",
    ""bit2"": ""0"",
    ""bit3"": ""0"",
    ""bit4"": ""0"",
    ""bit5"": ""0"",
    ""bit6"": ""0"",
    ""bit7"": ""0"",
    ""isLoop"": false}",是,,,"{'result': ['0x6', '0x12', '0xe0', '0xd2', '0x7', '0xf1', '0xc2', '0x0']}"
7,"通道2：101
通道1：000
link down",sleep(6),1.发送can消息,/vcardas/sent,POST,"{
    ""channel"": ""3"",
    ""can_id"": ""7F0"",
    ""bit0"": ""5"",
    ""bit1"": ""3"",
    ""bit2"": ""22"",
    ""bit3"": ""0"",
    ""bit4"": ""2A"",
    ""bit5"": ""0"",
    ""bit6"": ""0"",
    ""bit7"": ""0"",
    ""isLoop"": false}",是,,,{'result': 'send Successful'}
