编号,测试用例名称,前置条件,测试步骤,url,method,data,是否运行,后置条件,期望结果（future）,返回结果
1,"通道2：000
通道1：000
PC模式：自协商开
link up","subprocess.run([""powershell"", ""-Command"", 'Set-NetAdapterAdvancedProperty ""以太网"" -DisplayName ""连接速度和双工模式"" -DisplayValue ""自动侦测""'], capture_output=True, text=True,shell=True)
sleep(6)",1.发送can消息,/vcardas/sent,POST,"{
    ""channel"": ""3"",
    ""can_id"": ""7F0"",
    ""bit0"": ""5"",
    ""bit1"": ""3"",
    ""bit2"": ""33"",
    ""bit3"": ""0"",
    ""bit4"": ""3B"",
    ""bit5"": ""0"",
    ""bit6"": ""0"",
    ""bit7"": ""0"",
    ""isLoop"": false}",是,,,
,,sleep(6),2.接收can消息,/vcardas/recv,POST,"{
    ""channel"": ""3"",
    ""can_id"": ""7F1"",
    ""bit0"": ""0"",
    ""bit1"": ""0"",
    ""bit2"": ""0"",
    ""bit3"": ""0"",
    ""bit4"": ""0"",
    ""bit5"": ""0"",
    ""bit6"": ""0"",
    ""bit7"": ""0"",
    ""isLoop"": false}",是,,,
2,"通道2：000
通道1：001
PC模式：自协商开
link up",sleep(6),1.发送can消息,/vcardas/sent,POST,"{
    ""channel"": ""3"",
    ""can_id"": ""7F0"",
    ""bit0"": ""5"",
    ""bit1"": ""3"",
    ""bit2"": ""33"",
    ""bit3"": ""1"",
    ""bit4"": ""3C"",
    ""bit5"": ""0"",
    ""bit6"": ""0"",
    ""bit7"": ""0"",
    ""isLoop"": false}",是,,,
,,sleep(6),2.接收can消息,/vcardas/recv,POST,"{
    ""channel"": ""3"",
    ""can_id"": ""7F1"",
    ""bit0"": ""0"",
    ""bit1"": ""0"",
    ""bit2"": ""0"",
    ""bit3"": ""0"",
    ""bit4"": ""0"",
    ""bit5"": ""0"",
    ""bit6"": ""0"",
    ""bit7"": ""0"",
    ""isLoop"": false}",是,,,
3,"通道2：000
通道1：100
PC模式：自协商开
link up",sleep(6),1.发送can消息,/vcardas/sent,POST,"{
    ""channel"": ""3"",
    ""can_id"": ""7F0"",
    ""bit0"": ""5"",
    ""bit1"": ""3"",
    ""bit2"": ""33"",
    ""bit3"": ""10"",
    ""bit4"": ""4B"",
    ""bit5"": ""0"",
    ""bit6"": ""0"",
    ""bit7"": ""0"",
    ""isLoop"": false}",是,,,
,,sleep(6),2.接收can消息,/vcardas/recv,POST,"{
    ""channel"": ""3"",
    ""can_id"": ""7F1"",
    ""bit0"": ""0"",
    ""bit1"": ""0"",
    ""bit2"": ""0"",
    ""bit3"": ""0"",
    ""bit4"": ""0"",
    ""bit5"": ""0"",
    ""bit6"": ""0"",
    ""bit7"": ""0"",
    ""isLoop"": false}",是,,,
4,"通道2：000
通道1：101
PC模式：自协商开
link up",sleep(6),1.发送can消息,/vcardas/sent,POST,"{
    ""channel"": ""3"",
    ""can_id"": ""7F0"",
    ""bit0"": ""5"",
    ""bit1"": ""3"",
    ""bit2"": ""33"",
    ""bit3"": ""11"",
    ""bit4"": ""4C"",
    ""bit5"": ""0"",
    ""bit6"": ""0"",
    ""bit7"": ""0"",
    ""isLoop"": false}",是,,,
,,sleep(6),2.接收can消息,/vcardas/recv,POST,"{
    ""channel"": ""3"",
    ""can_id"": ""7F1"",
    ""bit0"": ""0"",
    ""bit1"": ""0"",
    ""bit2"": ""0"",
    ""bit3"": ""0"",
    ""bit4"": ""0"",
    ""bit5"": ""0"",
    ""bit6"": ""0"",
    ""bit7"": ""0"",
    ""isLoop"": false}",是,,,
5,"通道2：000
通道1：010
PC模式：自协商开
link up",sleep(6),1.发送can消息,/vcardas/sent,POST,"{
    ""channel"": ""3"",
    ""can_id"": ""7F0"",
    ""bit0"": ""5"",
    ""bit1"": ""3"",
    ""bit2"": ""33"",
    ""bit3"": ""4"",
    ""bit4"": ""3F"",
    ""bit5"": ""0"",
    ""bit6"": ""0"",
    ""bit7"": ""0"",
    ""isLoop"": false}",是,,,
,,sleep(6),2.接收can消息,/vcardas/recv,POST,"{
    ""channel"": ""3"",
    ""can_id"": ""7F1"",
    ""bit0"": ""0"",
    ""bit1"": ""0"",
    ""bit2"": ""0"",
    ""bit3"": ""0"",
    ""bit4"": ""0"",
    ""bit5"": ""0"",
    ""bit6"": ""0"",
    ""bit7"": ""0"",
    ""isLoop"": false}",是,,,
6,"通道2：000
通道1：110
PC模式：自协商开
link up",sleep(6),1.发送can消息,/vcardas/sent,POST,"{
    ""channel"": ""3"",
    ""can_id"": ""7F0"",
    ""bit0"": ""5"",
    ""bit1"": ""3"",
    ""bit2"": ""33"",
    ""bit3"": ""14"",
    ""bit4"": ""4F"",
    ""bit5"": ""0"",
    ""bit6"": ""0"",
    ""bit7"": ""0"",
    ""isLoop"": false}",是,,,
,,sleep(6),2.接收can消息,/vcardas/recv,POST,"{
    ""channel"": ""3"",
    ""can_id"": ""7F1"",
    ""bit0"": ""0"",
    ""bit1"": ""0"",
    ""bit2"": ""0"",
    ""bit3"": ""0"",
    ""bit4"": ""0"",
    ""bit5"": ""0"",
    ""bit6"": ""0"",
    ""bit7"": ""0"",
    ""isLoop"": false}",是,,,
7,"通道2：000
通道1：011
PC模式：自协商开
link up",sleep(6),1.发送can消息,/vcardas/sent,POST,"{
    ""channel"": ""3"",
    ""can_id"": ""7F0"",
    ""bit0"": ""5"",
    ""bit1"": ""3"",
    ""bit2"": ""33"",
    ""bit3"": ""5"",
    ""bit4"": ""40"",
    ""bit5"": ""0"",
    ""bit6"": ""0"",
    ""bit7"": ""0"",
    ""isLoop"": false}",是,,,
